나 (n) na,I / me
너 (n) nuh,You (informal)
당신 (n) dang sin,You (formal)
우리 (n) oori,We / our
남자 (n) namja,man
여자 (n) yuh ja,woman
내 nae,my (informal)
제 jeh,my (formal)
…은 eun,~ am/are/is (when previous word ends in consonant)
…는 neun,~ am/are/is (when previous word ends in vowel)
잘 jal,well (+ verb)
못 mot,poorly / can't (+ verb)
안 ahn,not (+ verb)
다 (adv) da,all
더 (adv) duh,more
제일 (adv) jeh il,most
하다 (v) hada,to do
있다 (v) itta,to exist / to be / to have
없다 (v) upda,to not exist / to not be / to not have
가다 (v) gada,to go
오다 (v) oda,to come
알다 (v) alda,to know
모르다 (v) mo reu da,to not know
웃다 (v) ootta,to laugh
만들다 (v) man deul da,to make
보다 (v) boda,"to see / ~ ""than"" x"
배우다 (v) bae ooda,to learn
먹다 (v) muhk da,to eat
마시다 (v) masida,to drink
듣다 (v) deutta,to listen / hear
쓰다 (v) sseu da,to write
살다 (v) salda,to live
주다 (v) jooda,to give
받다 (v) batta,to receive
자다 (v) jada,to sleep
좋아하다 (v) joah hada,to like
...할 수 있다 (v) ...halssoo itta,can do x
사용하다 (v) sayong hada,to use
운전하다 (v) oon juhn hada,to drive
많이 (adj) mani,"many, much, a lot"
조금 (adj) jo geum,"few, a little"
가까이 (adj) gakkai,near
멀리 (adj) mulli,far
큰 (adj) keun,big
작은 (adj) jageun,small
좋은 (adj) jo eun,good
나쁜 (adj) nappeun,bad
아름다운 (adj) areum da oon,beautiful
예쁜 (adj) yeppeun,pretty
못생긴 (adj) mossaeng ghin,ugly
쉬운 (adj) shi oon,easy
어려운 (adj) uh ryuh oon,difficult
앞 (adj) ap,"front, in front of"
뒤 (adj) dwi,behind
위 (adj) wi,above
아래 (adj) ah rae,under
사람 (n) saram,person
아이 (n) ah i,child
엄마 (n) uhmma,mom
아빠 (n) appa,dad
동생 (n) dong saeng,younger sibling
친구 (n) chin goo,friend
같이 gachi,together
저는 juh neun,I am (formal)
개 gae,counting unit (ex: 2개) / dog
강아지 gang ah ji,puppy
고양이 (n) go yang i,cat
말 (n) mal,"speaking, speech, words, language"
일 (n) il,work
집 (n) jib,house / home
돈 (n) don,money
이거 i guh,this thing
저거 juh guh,that thing (present and visible)
그거 geu guh,that thing (not currently present)
나라 (n) nara,country
물 (n) mool,water
술 (n) sool,alcohol / drinks
맥주 (n) maekjjoo,beer
우유 (n) ooyoo,milk
차 (n) cha,tea
식사 (n) siksa,meal (formal)
밥 (n) bab,cooked rice / meal
반찬 (n) banchan,side dish
고기 (n) gogi,meat
채소 (n) chae so,vegetable
과일 (n) gwa il,fruit
치즈 (n) chi jeu,cheese
빵 (n) ppang,bread / pastry
몸 (n) mohm,body
머리 (n) muh ri,head / hair
얼굴 (n) uhl gool,face
눈 (n) noon,eye
코 (n) ko,nose
입 (n) ib,mouth
팔 (n) pal,arm
손 (n) sohn,hand
다리 (n) dari,leg
발 (n) bal,foot
배 (n) bae,stomach
키 (n) ki,height
나이 (n) na i,age
시간 (n) sigan,time
오늘 (n) o neul,today
내일 (n) nae il,tomorrow
어제 (n) uhje,yesterday
분 (n) boon,minute
시 (n) si,hour / o'clock
년 (n) nyun,year
그리고 geu ri go,and
그래서 geu rae suh,"so, therefore"
그런데 geu run deh,but then/however
안녕 Annyung,Hi. / Bye. (informal)
안녕하세요 Annyung haseyo,hello (formal)
잘 가 jal ga,"Goodbye (literally ""go well"") (informal)"
나중에 봐 najoong eh bwa,See you later (informal)
고마워요. Goma woyo.,Thank you!
네 Neh,Yes.
아니요 Aniyo,No.
맛있어요! Masi ssuhyo!,Delicious!
왜? / 왜요? Wae / Wae yo,Why? (informal/formal)
